Banco de México,,,
,,,
Subastas y colocación de valores,,,
Valores Gubernamentales,,,
,,,
Fecha de consulta: 11/07/2019 09:18:08,,,
,,,
,,,
,,,
Título,"Valores gubernamentales Resultados de la subasta semanal, Plazo en días Cetes a 28 días","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 28 días","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 28 días"
Periodo disponible,02/09/1982 - 11/07/2019,04/01/1996 - 11/07/2019,02/09/1982 - 11/07/2019
Periodicidad,Diaria,Diaria,Diaria
Cifra,Sin tipo de Cifra,Sin tipo de Cifra,Porcentajes
Unidad,Días,Millones de Pesos,Porcentajes
Base,,,
Aviso,,,
Tipo de información,Niveles,Niveles,Niveles
Fecha,SF43935,SF43937,SF43936
2011-01,28,4500,4.16
2011-01,28,4500,4.2
2011-01,28,4500,4.13
2011-01,28,4500,4.05
2011-02,28,4500,4.04
2011-02,28,4500,4.05
2011-02,28,4500,3.94
2011-02,28,4500,4.14
2011-03,28,4500,4.22
2011-03,28,4500,4.28
2011-03,28,4500,4.24
2011-03,27,4500,4.3
2011-03,28,4500,4.3
2011-04,28,5500,4.26
2011-04,28,5500,4.28
2011-04,29,5500,4.33
2011-04,28,5500,4.24
2011-05,28,5500,4.24
2011-05,28,5500,4.27
2011-05,28,5500,4.34
2011-05,28,5500,4.39
2011-06,28,5500,4.43
2011-06,28,5500,4.37
2011-06,28,5500,4.38
2011-06,28,5500,4.35
2011-06,28,5500,4.33
2011-07,28,5500,4.18
2011-07,28,5500,4.15
2011-07,28,5500,4.15
2011-07,28,5500,4.08
2011-08,28,5500,3.96
2011-08,28,5500,3.99
2011-08,28,5500,4.09
2011-08,28,5500,4.17
2011-09,28,5500,4.11
2011-09,28,5500,4.17
2011-09,28,5500,4.25
2011-09,28,5500,4.27
2011-09,28,5500,4.34
2011-10,28,6500,4.35
2011-10,28,6500,4.37
2011-10,28,6500,4.35
2011-10,28,6500,4.37
2011-11,28,6500,4.38
2011-11,28,6500,4.35
2011-11,28,6500,4.35
2011-11,28,6500,4.32
2011-12,28,6500,4.39
2011-12,28,6500,4.33
2011-12,28,6500,4.33
2011-12,28,6500,4.33
2011-12,28,6500,4.31
2012-01,28,10000,4.32
2012-01,28,10000,4.26
2012-01,28,6000,4.27
2012-01,28,6000,4.24
2012-02,28,6000,4.24
2012-02,28,6000,4.34
2012-02,28,6000,4.36
2012-02,28,6000,4.35
2012-03,28,7000,4.27
2012-03,27,7000,4.27
2012-03,28,7000,4.18
2012-03,28,7000,4.21
2012-03,28,7000,4.28
2012-04,29,7000,4.25
2012-04,28,7000,4.26
2012-04,28,7000,4.33
2012-04,28,7000,4.33
2012-05,28,7000,4.33
2012-05,28,7000,4.34
2012-05,28,7000,4.42
2012-05,28,7000,4.42
2012-05,28,7000,4.44
2012-06,28,7000,4.35
2012-06,28,7000,4.35
2012-06,28,7000,4.37
2012-06,28,7000,4.27
2012-07,28,10000,4.17
2012-07,28,10000,4.16
2012-07,28,6000,4.15
2012-07,28,6000,4.13
2012-08,28,6000,4.09
2012-08,28,6000,4.09
2012-08,28,6000,4.09
2012-08,28,6000,4.23
2012-08,28,7000,4.15
2012-09,28,7000,4.17
2012-09,28,7000,4.23
2012-09,28,7000,4.15
2012-09,28,7000,4.12
2012-10,28,7000,4.2
2012-10,28,7000,4.17
2012-10,28,7000,4.23
2012-10,28,7000,4.22
2012-11,28,7000,4.33
2012-11,28,7000,4.26
2012-11,28,7000,4.31
2012-11,28,7000,4.28
2012-11,28,7000,4.25
2012-12,28,7000,4.23
2012-12,28,7000,4.14
2012-12,28,7000,3.93
2012-12,28,7000,3.91
2013-01,28,5000,4.04
2013-01,28,5000,4.12
2013-01,28,5000,4.12
2013-01,28,5000,4.26
2013-01,28,5000,4.23
2013-02,28,5000,4.22
2013-02,28,5000,4.2
2013-02,28,5000,4.19
2013-02,27,5000,4.13
2013-03,28,5000,4.07
2013-03,28,5000,3.96
2013-03,28,5000,3.95
2013-03,29,5000,3.95
2013-04,28,6000,3.88
2013-04,28,6000,3.81
2013-04,28,6000,3.81
2013-04,28,6000,3.76
2013-05,28,6000,3.76
2013-05,28,6000,3.71
2013-05,28,6000,3.72
2013-05,28,6000,3.72
2013-05,28,6000,3.71
2013-06,28,6000,3.71
2013-06,28,6000,3.77
2013-06,28,6000,3.81
2013-06,28,6000,3.82
2013-07,28,6000,3.8
2013-07,28,6000,3.83
2013-07,28,6000,3.85
2013-07,28,6000,3.9
2013-08,28,6000,3.88
2013-08,28,6000,3.84
2013-08,28,6000,3.84
2013-08,28,6000,3.83
2013-08,28,6000,3.83
2013-09,28,6000,3.83
2013-09,28,6000,3.65
2013-09,28,6000,3.56
2013-09,28,6000,3.5
2013-10,28,6000,3.44
2013-10,28,6000,3.4
2013-10,28,6000,3.38
2013-10,28,6000,3.35
2013-10,28,6000,3.38
2013-11,28,6000,3.36
2013-11,27,6000,3.39
2013-11,28,7000,3.4
2013-11,28,7000,3.4
2013-12,28,7000,3.38
2013-12,29,7000,3.34
2013-12,28,7000,3.27
2013-12,28,7000,3.18
2014-01,28,7000,3.16
2014-01,28,7000,3.17
